"id","m49_code","display_name","m49_sub_region_id"
"caribbean","29","Caribbean","latin_america_and_the_caribbean"
"central_america","13","Central America","latin_america_and_the_caribbean"
"channel_islands","830","Channel Islands","northern_europe"
"eastern_africa","14","Eastern Africa","sub_saharan_africa"
"middle_africa","17","Middle Africa","sub_saharan_africa"
"southern_africa","18","Southern Africa","sub_saharan_africa"
"south_america","5","South America","latin_america_and_the_caribbean"
"western_africa","11","Western Africa","sub_saharan_africa"
